company_name,fyear,predicted_status
C_3,1999.0,alive
C_3,2000.0,alive
C_3,2001.0,alive
C_3,2002.0,alive
C_3,2004.0,alive
C_3,2005.0,alive
C_3,2006.0,alive
C_3,2007.0,alive
C_3,2008.0,failed
C_4,1999.0,alive
C_4,2000.0,alive
C_4,2001.0,alive
C_4,2002.0,alive
C_4,2003.0,alive
C_4,2004.0,alive
C_4,2005.0,alive
C_4,2006.0,alive
C_4,2007.0,alive
C_6,1999.0,alive
C_6,2000.0,alive
C_6,2001.0,failed
C_6,2002.0,failed
C_6,2003.0,failed
C_6,2004.0,failed
C_6,2005.0,failed
C_6,2006.0,failed
C_6,2007.0,failed
C_6,2008.0,failed
C_6,2009.0,failed
C_6,2010.0,failed
C_8,1999.0,alive
C_8,2000.0,alive
C_8,2001.0,alive
C_8,2002.0,alive
C_8,2003.0,alive
C_8,2004.0,alive
C_8,2005.0,alive
C_8,2006.0,alive
C_17,1999.0,alive
C_17,2000.0,alive
C_17,2001.0,alive
C_17,2002.0,alive
C_17,2003.0,alive
C_17,2004.0,alive
C_17,2005.0,alive
C_17,2006.0,alive
C_17,2007.0,alive
C_17,2008.0,alive
C_17,2009.0,alive
C_17,2010.0,alive
C_17,2011.0,alive
C_17,2012.0,alive
C_17,2013.0,alive
C_17,2014.0,alive
C_17,2015.0,alive
C_17,2016.0,alive
C_17,2017.0,alive
C_17,2018.0,alive
C_25,2003.0,alive
C_25,2004.0,alive
C_25,2005.0,alive
C_25,2006.0,alive
C_25,2007.0,failed
C_27,1999.0,failed
C_27,2000.0,alive
C_27,2001.0,alive
C_27,2002.0,alive
C_27,2003.0,alive
C_27,2004.0,alive
C_27,2005.0,alive
C_27,2006.0,alive
C_27,2007.0,alive
C_27,2008.0,alive
C_27,2009.0,alive
C_27,2010.0,alive
C_27,2011.0,alive
C_27,2012.0,alive
C_27,2013.0,alive
C_27,2014.0,alive
C_27,2015.0,alive
C_27,2016.0,alive
C_27,2017.0,alive
C_34,1999.0,alive
C_34,2000.0,alive
C_34,2001.0,alive
C_34,2002.0,alive
C_34,2003.0,alive
C_34,2004.0,alive
C_34,2005.0,alive
C_34,2006.0,alive
C_38,2000.0,alive
C_38,2001.0,alive
C_38,2002.0,alive
C_38,2003.0,alive
C_38,2004.0,alive
C_38,2005.0,alive
C_44,1999.0,alive
C_44,2000.0,alive
C_44,2001.0,alive
C_44,2002.0,alive
C_44,2003.0,alive
C_44,2004.0,alive
C_47,1999.0,alive
C_47,2000.0,alive
C_47,2001.0,failed
C_47,2002.0,alive
C_47,2003.0,alive
C_47,2004.0,alive
C_47,2005.0,alive
C_47,2006.0,alive
C_47,2007.0,alive
C_47,2008.0,alive
C_47,2009.0,alive
C_47,2010.0,alive
C_49,1999.0,alive
C_49,2000.0,alive
C_49,2001.0,alive
C_50,1999.0,alive
C_50,2000.0,alive
C_50,2001.0,alive
C_50,2002.0,failed
C_50,2003.0,alive
C_50,2004.0,alive
C_50,2005.0,alive
C_50,2006.0,alive
C_50,2007.0,alive
C_50,2008.0,alive
C_50,2009.0,alive
C_50,2010.0,alive
C_50,2011.0,alive
C_50,2012.0,alive
C_50,2013.0,alive
C_50,2014.0,alive
C_50,2015.0,alive
C_50,2016.0,alive
C_50,2017.0,alive
C_50,2018.0,alive
C_68,1999.0,alive
C_74,1999.0,alive
C_74,2000.0,alive
C_74,2001.0,failed
C_74,2002.0,failed
C_74,2003.0,alive
C_74,2004.0,alive
C_79,1999.0,alive
C_79,2000.0,alive
C_79,2001.0,alive
C_79,2002.0,alive
C_79,2003.0,alive
C_79,2004.0,alive
C_79,2005.0,alive
C_79,2006.0,alive
C_79,2007.0,alive
C_79,2008.0,alive
C_79,2009.0,alive
C_79,2010.0,alive
C_79,2011.0,alive
C_79,2012.0,alive
C_79,2013.0,alive
C_79,2014.0,alive
C_79,2015.0,alive
C_79,2016.0,alive
C_79,2017.0,alive
C_79,2018.0,alive
C_96,1999.0,alive
C_96,2000.0,alive
C_96,2001.0,alive
C_96,2002.0,alive
C_96,2003.0,alive
C_96,2004.0,alive
C_96,2005.0,alive
C_96,2006.0,alive
C_105,1999.0,alive
C_105,2000.0,alive
C_105,2001.0,alive
C_105,2002.0,alive
C_105,2003.0,alive
C_105,2004.0,alive
C_105,2005.0,alive
C_105,2006.0,alive
C_105,2007.0,alive
C_105,2008.0,alive
C_105,2009.0,alive
C_105,2010.0,alive
C_105,2011.0,alive
C_105,2012.0,alive
C_105,2013.0,alive
C_105,2014.0,alive
C_105,2015.0,alive
C_105,2016.0,alive
C_105,2017.0,alive
C_105,2018.0,alive
C_115,1999.0,alive
C_119,1999.0,alive
C_127,1999.0,alive
C_127,2000.0,alive
C_127,2001.0,alive
C_127,2002.0,alive
C_127,2003.0,alive
C_127,2004.0,alive
C_129,1999.0,alive
C_129,2000.0,failed
C_129,2001.0,alive
C_129,2002.0,alive
C_129,2003.0,alive
C_129,2004.0,alive
C_129,2005.0,alive
C_129,2006.0,alive
C_129,2007.0,alive
C_129,2008.0,alive
C_129,2009.0,alive
C_133,1999.0,alive
C_133,2000.0,alive
C_133,2001.0,alive
C_133,2002.0,alive
C_133,2003.0,alive
C_133,2004.0,alive
C_133,2005.0,alive
C_135,1999.0,alive
C_135,2000.0,alive
C_135,2001.0,alive
C_135,2002.0,alive
C_135,2003.0,alive
C_135,2004.0,alive
C_135,2005.0,alive
C_135,2006.0,alive
C_135,2007.0,alive
C_135,2008.0,alive
C_135,2009.0,alive
C_135,2010.0,alive
C_135,2011.0,alive
C_135,2012.0,alive
C_135,2013.0,alive
C_135,2014.0,alive
C_135,2015.0,alive
C_135,2016.0,alive
C_135,2017.0,alive
C_135,2018.0,alive
C_139,1999.0,alive
C_139,2000.0,alive
C_139,2001.0,alive
C_139,2002.0,alive
C_139,2003.0,alive
C_139,2004.0,alive
C_139,2005.0,alive
C_139,2006.0,alive
C_139,2007.0,alive
C_139,2008.0,alive
C_139,2009.0,failed
C_139,2010.0,alive
C_139,2011.0,alive
C_139,2012.0,alive
C_139,2013.0,alive
C_139,2014.0,alive
C_140,1999.0,alive
C_144,1999.0,alive
C_144,2000.0,alive
C_144,2001.0,alive
C_144,2002.0,alive
C_144,2003.0,alive
C_144,2004.0,alive
C_144,2005.0,alive
C_144,2006.0,alive
C_144,2007.0,alive
C_144,2008.0,alive
C_144,2009.0,alive
C_144,2010.0,alive
C_144,2011.0,alive
C_144,2012.0,alive
C_159,1999.0,alive
C_159,2000.0,alive
C_162,1999.0,alive
C_170,1999.0,alive
C_170,2000.0,alive
C_170,2001.0,alive
C_170,2002.0,alive
C_170,2003.0,alive
C_170,2004.0,alive
C_170,2005.0,alive
C_170,2006.0,alive
C_170,2007.0,alive
C_170,2008.0,alive
C_170,2009.0,alive
C_170,2010.0,alive
C_170,2011.0,alive
C_170,2012.0,alive
C_170,2013.0,alive
C_170,2014.0,alive
C_170,2015.0,alive
C_170,2016.0,alive
C_170,2017.0,alive
C_170,2018.0,alive
C_171,1999.0,alive
C_171,2000.0,alive
C_171,2001.0,alive
C_178,1999.0,alive
C_178,2000.0,alive
C_179,1999.0,alive
C_179,2000.0,alive
C_179,2001.0,alive
C_179,2002.0,alive
C_179,2003.0,alive
C_179,2004.0,alive
C_179,2005.0,alive
C_179,2006.0,alive
C_179,2007.0,alive
C_179,2008.0,alive
C_179,2009.0,alive
C_179,2010.0,alive
C_179,2011.0,failed
C_179,2012.0,failed
C_179,2013.0,failed
C_179,2014.0,alive
C_179,2015.0,alive
C_179,2016.0,alive
C_179,2017.0,alive
C_179,2018.0,alive
C_180,1999.0,failed
C_180,2000.0,failed
C_180,2001.0,failed
C_180,2002.0,failed
C_191,1999.0,alive
C_191,2000.0,alive
C_191,2001.0,alive
C_191,2002.0,alive
C_191,2003.0,alive
C_191,2004.0,alive
C_192,1999.0,alive
C_192,2000.0,alive
C_192,2001.0,alive
C_192,2002.0,alive
C_192,2003.0,alive
C_192,2004.0,alive
C_192,2005.0,alive
C_192,2006.0,alive
C_192,2007.0,alive
C_192,2008.0,alive
C_192,2009.0,alive
C_195,1999.0,alive
C_195,2000.0,alive
C_195,2001.0,failed
C_195,2002.0,alive
C_195,2003.0,alive
C_195,2004.0,alive
C_195,2005.0,alive
C_195,2006.0,alive
C_195,2007.0,alive
C_196,1999.0,alive
C_212,1999.0,alive
C_212,2000.0,alive
C_212,2001.0,alive
C_212,2002.0,alive
C_212,2003.0,alive
C_212,2004.0,alive
C_212,2005.0,alive
C_212,2006.0,alive
C_212,2007.0,alive
C_212,2008.0,alive
C_212,2009.0,alive
C_215,1999.0,alive
C_215,2000.0,alive
C_215,2001.0,alive
C_215,2002.0,alive
C_215,2003.0,alive
C_215,2004.0,alive
C_215,2005.0,alive
C_215,2006.0,alive
C_215,2007.0,alive
C_215,2008.0,alive
C_215,2009.0,alive
C_215,2010.0,alive
C_215,2011.0,alive
C_215,2012.0,alive
C_215,2013.0,alive
C_215,2014.0,alive
C_215,2015.0,alive
C_215,2016.0,alive
C_215,2017.0,alive
C_215,2018.0,alive
C_217,1999.0,alive
C_217,2000.0,failed
C_217,2001.0,alive
C_217,2002.0,alive
C_217,2003.0,alive
C_217,2005.0,alive
C_217,2006.0,alive
C_217,2007.0,alive
C_217,2008.0,alive
C_217,2009.0,alive
C_222,1999.0,alive
C_222,2000.0,alive
C_222,2001.0,alive
C_222,2002.0,failed
C_222,2003.0,alive
C_237,1999.0,alive
C_237,2000.0,alive
C_237,2001.0,alive
C_237,2002.0,alive
C_249,1999.0,alive
C_249,2000.0,alive
C_249,2001.0,alive
C_249,2002.0,alive
C_249,2003.0,alive
C_249,2004.0,alive
C_249,2005.0,alive
C_249,2006.0,alive
C_249,2007.0,alive
C_249,2008.0,alive
C_249,2009.0,alive
C_249,2010.0,alive
C_249,2011.0,alive
C_249,2012.0,alive
C_249,2013.0,alive
C_249,2014.0,alive
C_249,2015.0,alive
C_249,2016.0,alive
C_249,2017.0,alive
C_249,2018.0,alive
C_257,1999.0,alive
C_257,2000.0,alive
C_257,2001.0,alive
C_257,2002.0,alive
C_257,2003.0,alive
C_257,2004.0,alive
C_257,2005.0,alive
C_257,2006.0,alive
C_259,1999.0,alive
C_259,2000.0,alive
